Model       Freq  Turbo  Cores  Threads   L1    L2  L3   W  Date        Single  Laptop
i7-660UM    1333   2133      2        4   64  0.25   4  18  2010-05-01     942
i7-2677M    1800   2900      2        4   64  0.25   4  17  2011-06-01    1215
i7-3687U    2100   3300      2        4   64  0.25   4  17  2013-01-01    1587
i7-4600U    2100   3300      2        4   64  0.25   4  15  2013-09-01    1632  Latitude-E5540
i7-5600U    2600   3200      2        4   64  0.25   4  15  2015-01-01    1747  Latitude-E5550
i7-6600U    2600   3400      2        4   64  0.25   4  15  2015-09-01    1768  Latitude-E5570
i7-7600U    2800   3900      2        4   64  0.25   4  15  2017-01-01    1989  Latitude-5580
i7-8650U    1900   4200      4        8   64  0.25   8  15  2017-08-01    2098  Latitude-5590,Latitude-5500
i7-10610U   1800   4900      4        8   64  0.25   8  15  2020-05-01    2214  Latitude-5510
i7-1160G7   1200   4400      4        8   80  1.25  12  15  2020-09-01    2534  Latitude-5520
i7-1255U    1700   4700      2       12   80  1.25  12  15  2022-02-01    3143  Latitude-5530
i7-1355U    1700   5000      2       12   80  1.25  12  15  2023-01-01    3387  Latitude-5540
u7-150U     1800   5400      2       12  112  2.00  12  15  2024-01-01    3522  Latitude-5550
u7-255U     2000   5200      2       12  112  2.00  12  15  2025-01-01    3656  Pro-PC16250
